id,host_id,listing_url,last_scraped,host_since,first_review,last_review,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,has_availability,instant_bookable,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calendar_updated,calculated_host_listings_count_shared_rooms,host_location,source,neighbourhood_group_cleansed
1263413514967622418,588491599,https://www.airbnb.com/rooms/1263413514967622418,2024-12-23,2024-07-09,,,Guiduan,within an hour,98%,70%,t,668,t,t,Midtown District,32.73003695563983,-117.21659079194067,Room in hotel,Private room,12,3 baths,3.0,6.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Heating"", ""Air conditioning"", ""Crib"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Fire pit"", ""Outdoor dining area"", ""Pool"", ""Paid parking on premises"", ""Hair dryer"", ""TV"", ""Iron"", ""Smoke alarm""]",t,f,1148.0,1,365,1.0,365.0,30,364,0,0,0,,,,,,,,Exempt,,0,"Los Angeles, CA",city scrape,
1263450822733684977,208322189,https://www.airbnb.com/rooms/1263450822733684977,2024-12-23,2018-08-08,,,Manoj,within a few hours,100%,0%,f,1,t,f,University City,32.87438547341232,-117.20345678234528,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Fire pit"", ""Air conditioning"", ""Kitchen"", ""Washer"", ""Wifi"", ""Outdoor dining area"", ""Outdoor shower"", ""Free parking on premises"", ""Pool"", ""Hot tub"", ""Indoor fireplace"", ""TV"", ""Pool table"", ""Smoke alarm"", ""BBQ grill""]",t,f,60.0,31,365,31.0,365.0,30,365,0,0,0,,,,,,,,,,0,,city scrape,
1264510704353490836,31275315,https://www.airbnb.com/rooms/1264510704353490836,2024-12-23,2015-04-15,,,Sabrena,a few days or more,9%,0%,f,4,t,t,Columbia,32.7186909,-117.1695936,Room in hotel,Private room,6,1 private bath,1.0,,"[""Exercise equipment"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Washer"", ""Wifi"", ""Pool"", ""Paid parking on premises"", ""Hot tub"", ""TV"", ""Smoke alarm""]",t,f,,1,365,1.0,365.0,29,358,0,0,0,,,,,,,,Exempt,,0,"Oceanside, CA",previous scrape,
1265297929398981918,14064859,https://www.airbnb.com/rooms/1265297929398981918,2024-12-23,2014-04-09,2024-10-17,2024-11-25,Valery,within an hour,100%,99%,f,27,t,t,La Jolla,32.84195532256997,-117.24739411393162,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Wifi"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""TV"", ""Smoke alarm""]",t,t,105.0,1,365,1.0,365.0,15,206,10,10,2,4.3,4.5,4.7,4.9,4.8,5.0,4.4,"STR-01001L, 634083",,0,"San Diego, CA",city scrape,
1265359396944567401,79189793,https://www.airbnb.com/rooms/1265359396944567401,2024-12-23,2016-06-22,,,Krystal,within an hour,90%,100%,f,5,t,t,Sunbow,32.61812155943612,-117.0145626711722,Private room in home,Private room,1,1 shared bath,1.0,1.0,"[""Fire extinguisher"", ""Kitchen"", ""Washer"", ""Wifi"", ""Outdoor dining area"", ""Free parking on premises"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""TV"", ""Smoke alarm""]",t,f,45.0,30,365,30.0,365.0,29,89,0,0,0,,,,,,,,,,0,"San Diego, CA",city scrape,
1266760208043157984,14064859,https://www.airbnb.com/rooms/1266760208043157984,2024-12-23,2014-04-09,,,Valery,within an hour,100%,99%,f,27,t,t,La Jolla,32.845909413461925,-117.23914905945637,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Wifi"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""TV"", ""Smoke alarm""]",t,t,152.0,31,365,31.0,365.0,26,217,0,0,0,,,,,,,,,,0,"San Diego, CA",city scrape,
1266802744461237005,14064859,https://www.airbnb.com/rooms/1266802744461237005,2024-12-23,2014-04-09,,,Valery,within an hour,100%,99%,f,27,t,t,University City,32.85059,-117.2289,Private room in home,Private room,1,1 private bath,1.0,1.0,"[""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi""]",t,t,206.0,31,365,31.0,365.0,30,220,0,0,0,,,,,,,,,,0,"San Diego, CA",city scrape,
1266808582637730572,14064859,https://www.airbnb.com/rooms/1266808582637730572,2024-12-23,2014-04-09,2024-10-22,2024-11-13,Valery,within an hour,100%,99%,f,27,t,t,La Jolla,32.84608257253591,-117.24922715301328,Private room in home,Private room,1,1 bath,1.0,1.0,"[""Wifi"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Smoke alarm""]",t,t,75.0,5,365,5.0,365.0,19,209,3,3,0,4.33,4.67,4.33,5.0,5.0,4.33,4.33,"STR-09205L, 651788",,0,"San Diego, CA",city scrape,
1267429707801520774,555181868,https://www.airbnb.com/rooms/1267429707801520774,2024-12-23,2024-01-07,,,James,a few days or more,33%,100%,f,1,t,t,Pacific Beach,32.80537,-117.26006,Private room in rental unit,Private room,1,1 bath,1.0,1.0,"[""Exercise equipment"", ""Dedicated workspace"", ""Kitchen"", ""Washer"", ""Wifi"", ""Outdoor dining area"", ""Outdoor shower"", ""Pool"", ""Lock on bedroom door"", ""Hot tub"", ""Beach access \u2013 Beachfront"", ""TV"", ""Smoke alarm"", ""BBQ grill""]",t,f,74.0,60,365,60.0,365.0,29,364,0,0,0,,,,,,,,,,0,,city scrape,
1268167603669694994,598272503,https://www.airbnb.com/rooms/1268167603669694994,2024-12-23,2024-08-25,2024-11-02,2024-12-20,Kuikui,within an hour,100%,100%,f,5,t,t,Mira Mesa,32.911947415014815,-117.15207366003818,Private room in home,Private room,2,1 private bath,1.0,1.0,"[""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Rice maker"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm"", ""Ceiling fan"", ""Drying rack for clothing"", ""Clothing storage"", ""Refrigerator"", ""Dedicated workspace"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Dining table"", ""Conditioner"", ""Other stove"", ""Bathtub"", ""Cooking basics"", ""Hot water kettle"", ""Bed linens"", ""Mini fridge"", ""Free parking on premises"", ""Microwave"", ""Essentials"", ""Air conditioning"", ""Kitchen"", ""Hot water"", ""Washer"", ""Lock on bedroom door"", ""Hot tub"", ""Freezer"", ""Room-darkening shades""]",t,t,53.0,7,365,7.6,365.0,18,62,13,13,8,4.62,4.92,4.62,4.92,4.92,4.85,4.85,"STR-07896L, 649041",,0,"San Diego, CA",city scrape,
1268522971566902503,380422116,https://www.airbnb.com/rooms/1268522971566902503,2024-12-23,2020-12-16,2024-10-26,2024-11-08,Carlos,within an hour,100%,94%,f,7,t,t,Northwest,32.62329785670688,-117.06391395766391,Private room in home,Private room,2,2 shared baths,1.0,1.0,"[""Safe"", ""Wifi"", ""Housekeeping - available at extra cost"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Heating"", ""TV"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Coffee"", ""Wine glasses"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Free street parking"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Kitchenette"", ""Private entrance"", ""Conditioner"", ""Theme room"", ""Bed linens"", ""Mini fridge"", ""Free parking on premises"", ""Microwave"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Body soap"", ""Smart lock"", ""Iron"", ""Single level home"", ""Air conditioning"", ""Hot water"", ""Lock on bedroom door"", ""Self check-in"", ""Freezer"", ""Laundromat nearby""]",t,f,79.0,1,180,1.0,1125.0,19,79,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,4.33,STR24-0061,,0,"Chula Vista, CA",city scrape,
